n,seconds
563,0.0079160870
564,0.0078746350
565,0.0082494480
566,0.0080132800
567,0.0097481710
568,0.0080637680
569,0.0078678620
570,0.0079755320
571,0.0078817180
572,0.0079118420
573,0.0080754690
574,0.0079812240
575,0.0079574480
576,0.0080168050
577,0.0080055850
578,0.0081242050
579,0.0085230150
580,0.0081299740
581,0.0081542890
582,0.0080974560
583,0.0081977920
584,0.0083091570
585,0.0082199970
586,0.0082716150
587,0.0081190110
588,0.0084446470
589,0.0082698370
590,0.0083586350
591,0.0085013350
592,0.0100378370
593,0.0094518160
594,0.0107287040
595,0.0109081970
596,0.0098335050
597,0.0093714460
598,0.0088776090
599,0.0086858140
600,0.0087553020
601,0.0107934710
602,0.0089596930
603,0.0088669720
604,0.0087899950
605,0.0089670090
606,0.0088379170
607,0.0088668570
608,0.0090475830
609,0.0090156800
610,0.0102873610
611,0.0117551530
612,0.0092791760
613,0.0091814700
614,0.0090259970
615,0.0102087280
616,0.0092442290
617,0.0091358110
618,0.0092088860
619,0.0093450710
620,0.0092617120
621,0.0101622050
622,0.0097956960
623,0.0094463780
624,0.0093536550
625,0.0095497230
626,0.0096430460
627,0.0096325210
628,0.0097490770
629,0.0096309970
630,0.0099389280
631,0.0098146710
632,0.0099979880
633,0.0104822160
634,0.0117462540
635,0.0117259600
636,0.0136321280
637,0.0136086150
638,0.0115479930
639,0.0112818220
640,0.0112375730
641,0.0109083500
642,0.0106661760
643,0.0118109820
644,0.0119538120
645,0.0111269890
646,0.0110033780
647,0.0105501270
648,0.0105502350
649,0.0104171650
650,0.0103877170
651,0.0104704580
652,0.0105154370
653,0.0106224950
654,0.0105497260
655,0.0106005130
656,0.0105973760
657,0.0108180920
658,0.0118404010
659,0.0127368310
660,0.0126034800
661,0.0122904310
662,0.0109258590
663,0.0107773170
664,0.0114482240
665,0.0178750080
666,0.0110022830
667,0.0110180320
668,0.0110678030
669,0.0110840900
670,0.0111268540
671,0.0112513040
672,0.0113706430
673,0.0112290590
674,0.0114361390
675,0.0123285290
676,0.0115807080
677,0.0112655620
678,0.0113750270
679,0.0112604880
680,0.0111277360
681,0.0111962140
682,0.0115073320
683,0.0117492850
684,0.0114629790
685,0.0125358750
686,0.0167683440
687,0.0142754540
688,0.0135337000
689,0.0134119470
690,0.0116179960
691,0.0155438480
692,0.0142982970
693,0.0244046470
694,0.0261991870
695,0.0239435780
696,0.0229473380
697,0.0222158100
698,0.0252580160
699,0.0280961600
700,0.0241440390
701,0.0215201120
702,0.0204176840
703,0.0243374920
704,0.0241979340
705,0.0208228420
706,0.0301156070
707,0.0199353560
708,0.0221935170
709,0.0282730260
710,0.0234847310
711,0.0241502230
712,0.0265785320
713,0.0203327220
714,0.0259310430
715,0.0300313930
716,0.0186111030
717,0.0297167210
718,0.0286649460
719,0.0208001470
720,0.0220350740
721,0.0279524180
722,0.0262005780
723,0.0225870820
724,0.0212255090
725,0.0352639020
726,0.0281528100
727,0.0301626550
728,0.0259120750
729,0.0287158320
730,0.0251492370
731,0.0277060960
732,0.0260413630
733,0.0241542710
734,0.0248156080
735,0.0253885270
736,0.0292101270
737,0.0244564350
738,0.0211716800
739,0.0209871410
740,0.0333006850
741,0.0242222630
742,0.0255723930
743,0.0278799010
744,0.0214097780
745,0.0288562680
746,0.0309607240
747,0.0291818260
748,0.0387238910
749,0.0270751230
750,0.0264482170
751,0.0138549600
752,0.0135198770
753,0.0284600310
754,0.0136402360
755,0.0158909300
756,0.0146546110
757,0.0139604540
758,0.0136931160
759,0.0140324550
760,0.0138994090
761,0.0138148490
762,0.0145807750
763,0.0138286370
764,0.0142303930
765,0.0139255090
766,0.0156307680
767,0.0140339050
768,0.0141744770
769,0.0141454110
770,0.0242174640
771,0.0140777430
772,0.0147671660
773,0.0152941130
774,0.0143876440
775,0.0164687270
776,0.0152778580
777,0.0152128050
778,0.0146611900
779,0.0145541060
780,0.0147796530
781,0.0190858270
782,0.0177924260
783,0.0151125450
784,0.0153076210
785,0.0149225610
786,0.0150609480
787,0.0152499740
788,0.0154517510
789,0.0153204320
790,0.0149317510
791,0.0150082920
792,0.0153694320
793,0.0150845370
794,0.0151687290
795,0.0150973050
796,0.0152294990
797,0.0155016970
798,0.0154508800
799,0.0155625740
800,0.0152950290
801,0.0152234100
802,0.0155611450
803,0.0153320620
804,0.0161008800
805,0.0159866060
806,0.0155347600
807,0.0158580980
808,0.0160683080
809,0.0157704830
810,0.0158489580
811,0.0156654290
812,0.0159997140
813,0.0158634960
814,0.0161477270
815,0.0156924670
816,0.0157618180
817,0.0158201090
818,0.0157412880
819,0.0403609860
820,0.0411125350
821,0.0160831370
822,0.0162016650
823,0.0254934200
824,0.0162295750
825,0.0161115380
826,0.0163190490
827,0.0161813390
828,0.0163948850
829,0.0163811330
830,0.0163777160
831,0.0181986790
832,0.0166010370
833,0.0162945220
834,0.0171034730
835,0.0182479460
836,0.0179560990
837,0.0172252450
838,0.0170829970
839,0.0165894250
840,0.0170917580
841,0.0169576980
842,0.0170746860
843,0.0173578240
844,0.0171503490
845,0.0183577090
846,0.0174458660
847,0.0171008360
848,0.0169015060
849,0.0170484620
850,0.0195537950
851,0.0182828120
852,0.0223716490
853,0.0226734840
854,0.0178287320
855,0.0174853870
856,0.0203356030
857,0.0176397250
858,0.0176837250
859,0.0182145060
860,0.0175092550
861,0.0177407100
862,0.0175927390
863,0.0177967730
864,0.0178465840
865,0.0178034100
866,0.0176922810
867,0.0179551780
868,0.0178537840
869,0.0177430250
870,0.0181765240
871,0.0200545140
872,0.0203335880
873,0.0179452280
874,0.0183977480
875,0.0186128320
876,0.0180266020
877,0.0191685200
878,0.0182883180
879,0.0197079150
880,0.0186406100
881,0.0183323550
882,0.0239842700
883,0.0186981520
884,0.0184768280
885,0.0199265390
886,0.0185679130
887,0.0189106260
888,0.0186921110
889,0.0201759570
890,0.0202290200
891,0.0209692020
892,0.0190195490
893,0.0192258280
894,0.0195500220
895,0.0193251490
896,0.0193074690
897,0.0193650940
898,0.0193277600
899,0.0191916570
900,0.0194599230
901,0.0195568850
902,0.0292298640
903,0.0192322930
904,0.0193355520
905,0.0202358410
906,0.0226097220
907,0.0194603440
908,0.0195665670
909,0.0205116910
910,0.0199783820
911,0.0223081290
912,0.0198808600
913,0.0197066050
914,0.0199630190
915,0.0198856500
916,0.0199859270
917,0.0202578610
918,0.0202388550
919,0.0203540650
920,0.0220579330
921,0.0211144850
922,0.0208822450
923,0.0204727770
924,0.0206252860
925,0.0211688120
926,0.0206930400
927,0.0206262300
928,0.0292021580
929,0.0207377600
930,0.0206050600
931,0.0206719070
932,0.0203431720
933,0.0232075230
934,0.0211142230
935,0.0206202630
936,0.0216731900
937,0.0205908160
938,0.0233158450
939,0.0277656360
940,0.0214660540
941,0.0211713490
942,0.0225434500
943,0.0213204360
944,0.0318129910
945,0.0214065380
946,0.0219758020
947,0.0215878990
948,0.0214138800
949,0.0213359140
950,0.0219327300
951,0.0217329110
952,0.0244681410
953,0.0216369030
954,0.0216367860
955,0.0223185090
956,0.0215110150
957,0.0328495260
958,0.0227982350
959,0.0221995140
960,0.0222611610
961,0.0229979670
962,0.0218581190
963,0.0219847810
964,0.0234706380
965,0.0412149470
966,0.0222205670
967,0.0227522110
968,0.0220958490
969,0.0221250740
